[2021-04-05 16:07:41,473][model_main.py][line:258][INFO] start training!
[2021-04-05 16:07:42,498][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 1/180 || Loss: 0.7561 || LR: 0.00010000 || Batchtime: 0.8806 s || ETA: 0:02:37
[2021-04-05 16:07:42,723][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 2/180 || Loss: 0.7894 || LR: 0.00010000 || Batchtime: 0.0868 s || ETA: 0:00:15
[2021-04-05 16:07:42,944][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 3/180 || Loss: 0.7752 || LR: 0.00010000 || Batchtime: 0.0858 s || ETA: 0:00:15
[2021-04-05 16:07:43,165][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 4/180 || Loss: 0.7295 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:14
[2021-04-05 16:07:43,386][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 5/180 || Loss: 0.7717 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:14
[2021-04-05 16:07:43,607][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 6/180 || Loss: 0.6809 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:14
[2021-04-05 16:07:43,828][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 7/180 || Loss: 0.7329 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:14
[2021-04-05 16:07:44,049][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 8/180 || Loss: 0.6971 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:14
[2021-04-05 16:07:44,269][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 9/180 || Loss: 0.6654 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:14
[2021-04-05 16:07:44,489][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 10/180 || Loss: 0.7652 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:14
[2021-04-05 16:07:44,710][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 11/180 || Loss: 0.6608 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:14
[2021-04-05 16:07:44,932][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 12/180 || Loss: 0.7313 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:14
[2021-04-05 16:07:45,157][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 13/180 || Loss: 0.6479 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:14
[2021-04-05 16:07:45,379][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 14/180 || Loss: 0.6552 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:13
[2021-04-05 16:07:45,601][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 15/180 || Loss: 0.6779 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:45,821][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 16/180 || Loss: 0.6347 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:46,042][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 17/180 || Loss: 0.6320 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:46,263][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 18/180 || Loss: 0.6421 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:46,485][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 19/180 || Loss: 0.6606 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:46,706][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 20/180 || Loss: 0.6309 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:46,927][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 21/180 || Loss: 0.6399 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:47,147][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 22/180 || Loss: 0.6730 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:47,368][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 23/180 || Loss: 0.6272 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:13
[2021-04-05 16:07:47,590][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 24/180 || Loss: 0.6076 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:47,810][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 25/180 || Loss: 0.6158 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:12
[2021-04-05 16:07:48,031][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 26/180 || Loss: 0.6525 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:13
[2021-04-05 16:07:48,253][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 27/180 || Loss: 0.6118 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:48,474][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 28/180 || Loss: 0.6154 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:48,696][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 29/180 || Loss: 0.6171 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:48,917][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 30/180 || Loss: 0.6295 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:12
[2021-04-05 16:07:49,137][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 31/180 || Loss: 0.6727 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:49,359][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 32/180 || Loss: 0.5938 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:49,580][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 33/180 || Loss: 0.6143 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:12
[2021-04-05 16:07:49,801][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 34/180 || Loss: 0.5705 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:12
[2021-04-05 16:07:50,022][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 35/180 || Loss: 0.6556 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:12
[2021-04-05 16:07:50,244][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 36/180 || Loss: 0.6212 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:12
[2021-04-05 16:07:50,464][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 37/180 || Loss: 0.6333 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:50,684][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 38/180 || Loss: 0.6608 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:50,906][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 39/180 || Loss: 0.5683 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:11
[2021-04-05 16:07:51,126][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 40/180 || Loss: 0.6193 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:51,348][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 41/180 || Loss: 0.6279 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:11
[2021-04-05 16:07:51,569][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 42/180 || Loss: 0.5787 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:51,790][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 43/180 || Loss: 0.5904 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:52,012][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 44/180 || Loss: 0.5699 || LR: 0.00010000 || Batchtime: 0.0858 s || ETA: 0:00:11
[2021-04-05 16:07:52,233][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 45/180 || Loss: 0.6111 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:52,454][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 46/180 || Loss: 0.5942 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:11
[2021-04-05 16:07:52,675][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 47/180 || Loss: 0.5765 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:11
[2021-04-05 16:07:52,895][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 48/180 || Loss: 0.6111 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:11
[2021-04-05 16:07:53,117][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 49/180 || Loss: 0.6416 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:53,338][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 50/180 || Loss: 0.6125 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:53,559][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 51/180 || Loss: 0.5776 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:53,780][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 52/180 || Loss: 0.5653 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:54,000][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 53/180 || Loss: 0.5814 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:54,223][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 54/180 || Loss: 0.6021 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:54,444][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 55/180 || Loss: 0.5374 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:54,666][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 56/180 || Loss: 0.5794 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:54,887][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 57/180 || Loss: 0.5753 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:55,109][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 58/180 || Loss: 0.6113 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:55,329][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 59/180 || Loss: 0.5736 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:55,550][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 60/180 || Loss: 0.5767 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:10
[2021-04-05 16:07:55,772][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 61/180 || Loss: 0.6626 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:55,991][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 62/180 || Loss: 0.5559 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:10
[2021-04-05 16:07:56,214][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 63/180 || Loss: 0.5674 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:09
[2021-04-05 16:07:56,435][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 64/180 || Loss: 0.5679 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:56,655][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 65/180 || Loss: 0.5415 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:56,877][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 66/180 || Loss: 0.6319 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:57,098][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 67/180 || Loss: 0.5233 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:09
[2021-04-05 16:07:57,320][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 68/180 || Loss: 0.5436 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:09
[2021-04-05 16:07:57,541][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 69/180 || Loss: 0.5681 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:57,761][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 70/180 || Loss: 0.5773 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:57,983][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 71/180 || Loss: 0.5426 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:58,203][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 72/180 || Loss: 0.5668 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:09
[2021-04-05 16:07:58,425][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 73/180 || Loss: 0.5756 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:09
[2021-04-05 16:07:58,645][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 74/180 || Loss: 0.5724 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:08
[2021-04-05 16:07:58,866][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 75/180 || Loss: 0.5862 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:08
[2021-04-05 16:07:59,088][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 76/180 || Loss: 0.5731 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:08
[2021-04-05 16:07:59,308][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 77/180 || Loss: 0.5595 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:07:59,531][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 78/180 || Loss: 0.5640 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:07:59,751][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 79/180 || Loss: 0.5682 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:07:59,973][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 80/180 || Loss: 0.5291 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:08
[2021-04-05 16:08:00,193][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 81/180 || Loss: 0.5838 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:08:00,414][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 82/180 || Loss: 0.5913 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:08:00,635][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 83/180 || Loss: 0.5953 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:08
[2021-04-05 16:08:00,857][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 84/180 || Loss: 0.5793 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:08:01,079][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 85/180 || Loss: 0.5577 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:08
[2021-04-05 16:08:01,301][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 86/180 || Loss: 0.5626 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:01,521][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 87/180 || Loss: 0.5465 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:07
[2021-04-05 16:08:01,743][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 88/180 || Loss: 0.5312 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:01,963][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 89/180 || Loss: 0.5643 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:07
[2021-04-05 16:08:02,185][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 90/180 || Loss: 0.5380 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:02,407][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 91/180 || Loss: 0.5693 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:02,628][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 92/180 || Loss: 0.5220 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:02,851][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 93/180 || Loss: 0.5909 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:07
[2021-04-05 16:08:03,071][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 94/180 || Loss: 0.5666 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:07
[2021-04-05 16:08:03,293][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 95/180 || Loss: 0.5308 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:07
